top - 23:30:41 up  7:42,  1 user,  load average: 0.40, 0.45, 0.43
Tasks: 350 total,   1 running, 348 sleeping,   0 stopped,   1 zombie
%Cpu(s):  2.5 us,  2.0 sy,  0.5 ni, 95.1 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :  15736.3 total,   9436.6 free,   2759.0 used,   3540.7 buff/cache
MiB Swap:   9537.0 total,   9537.0 free,      0.0 used.  11643.7 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   2117 hitcrt    20   0 2232564 111368  68724 S  12.5   0.7  18:55.88 Xorg
  22872 hitcrt    20   0 1121820  81812  52064 S  12.5   0.5   0:10.68 nautilus
  26892 root      20   0       0      0      0 I   6.2   0.0   0:01.24 kworker+
      1 root      20   0  168428  11764   8484 S   0.0   0.1   0:01.19 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.03 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par+
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_fl+
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_perc+
     11 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     12 root      20   0       0      0      0 S   0.0   0.0   0:00.00 rcu_tas+
     13 root      20   0       0      0      0 S   0.0   0.0   0:00.44 ksoftir+
     14 root      20   0       0      0      0 I   0.0   0.0   0:23.30 rcu_sch+
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.12 migrati+
     16 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     20 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     21 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migrati+
     22 root      20   0       0      0      0 S   0.0   0.0   0:00.36 ksoftir+
     24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     25 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/2
     26 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     27 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 migrati+
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.17 ksoftir+
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
     31 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/3
     32 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 idle_in+
     33 root      rt   0       0      0      0 S   0.0   0.0   0:00.19 migrati+
     34 root      20   0       0      0      0 S   0.0   0.0   0:00.07 ksoftir+
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker+
